name,birthday,nationality
Robert Downey Jr.,1965-04-04,USA
Scarlett Johansson,1984-11-22,USA
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Chris Evans,1981-06-13,USA
Natalie Portman,1981-06-09,USA
Jennifer Lawrence,1990-08-15,USA
Brad Pitt,1963-12-18,USA
Angelina Jolie,1975-06-04,USA
Wagner Moura,1976-06-27,BRAZIL
Sônia Braga,1950-06-08,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Débora Falabella,1979-02-22,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Marina Ruy Barbosa,1995-06-30,BRAZIL
Bruno Gagliasso,1982-04-13,BRAZIL
